HostResponseTime,HostResponseRate,HostAcceptRate,Superhost,HostListings,Neighborhood,Latitude,Longitude,RoomType,Accomodates,Bathrooms,Bedrooms,Beds,Price,MinNights,Availability30,Availability60,Availability90,Availability365,ReviewCount,FirstReview,AvgRating,RatingAccuracy,RatingClean,RatingCheckIn,RatingCommunication,RatingLocation,RatingValue,Instant Booking,BookingsPerMonth,CommissionsPerMonth
within a few hours,1,0.33,f,29,Centro Storico,43.76894,11.26785,Entire home/apt,2,1,1,1,95,3,30,60,90,365,23,2014.1,4.52,4.48,4.78,4.91,4.83,4.77,4.52,f,0.25,10.6875
within an hour,1,1,f,7,Centro Storico,43.77291,11.26426,Entire home/apt,7,2,2,5,139,2,16,43,73,327,16,2015.3,4.8,4.75,4.81,4.88,4.88,4.75,4.69,t,0.21,13.1355
within a few hours,1,0.72,t,1,Centro Storico,43.76631,11.24384,Entire home/apt,4,2,2,3,60,2,0,3,4,107,86,2013,4.69,4.71,4.68,4.75,4.61,4.9,4.62,f,0.82,22.14
within an hour,0.94,1,f,6,Centro Storico,43.7691,11.24395,Entire home/apt,4,1,2,3,67,2,0,0,0,0,72,2012.5,4.69,4.81,4.77,4.73,4.66,4.76,4.63,t,0.65,19.5975
within a few hours,0.8,1,f,2,Centro Storico,43.77345,11.2436,Entire home/apt,6,2,2,4,120,2,23,47,74,295,39,2014.4,4.65,4.84,4.81,4.86,4.7,4.89,4.7,f,0.45,24.3
within an hour,1,1,t,1,Centro Storico,43.77258,11.26095,Entire home/apt,4,1,1,1,86,3,4,22,37,217,300,2012.7,4.89,4.87,4.92,4.96,4.96,4.94,4.85,f,2.77,107.199
within an hour,1,1,f,6,Centro Storico,43.7695,11.24082,Private room,2,1,1,1,53,1,17,47,77,352,456,2012.6,4.71,4.81,4.83,4.88,4.88,4.58,4.69,t,4.17,99.4545
within a day,0.67,1,f,4,Centro Storico,43.77492,11.2459,Entire home/apt,2,1,1,3,70,1,11,41,71,346,13,2017.5,4.11,3.82,3.83,4.08,4,4.42,3.64,f,0.26,8.19
a few days or more,0,0,f,2,Centro Storico,43.78287,11.24009,Private room,4,0,1,2,35,2,0,0,10,285,49,2013.4,4.68,4.81,4.87,4.83,4.93,4.62,4.83,f,0.49,7.7175
within an hour,1,1,f,6,Centro Storico,43.76936,11.24082,Private room,2,0,1,1,53,1,17,47,77,352,405,2012.9,4.69,4.74,4.82,4.83,4.81,4.56,4.68,t,3.82,91.107
within an hour,1,1,t,5,Centro Storico,43.77465,11.25257,Entire home/apt,2,1,1,1,102,2,4,32,62,337,262,2012.5,4.8,4.92,4.93,4.91,4.92,4.94,4.82,t,2.37,108.783
within an hour,1,1,f,24,Centro Storico,43.77023,11.26429,Entire home/apt,7,2,2,3,117,2,2,18,21,122,196,2012.9,4.71,4.78,4.72,4.91,4.94,4.85,4.69,t,1.85,97.4025
within an hour,1,1,t,3,Centro Storico,43.78066,11.25774,Entire home/apt,4,1,1,1,65,3,4,34,45,247,98,2014.1,4.87,4.9,4.95,4.95,4.96,4.84,4.81,t,1.07,31.2975
within an hour,0.67,0.88,f,3,Centro Storico,43.76797,11.2673,Entire home/apt,6,2,3,5,210,3,0,0,0,8,163,2014.1,4.58,4.71,4.58,4.92,4.89,4.83,4.66,f,1.78,168.21
within an hour,1,1,t,2,Centro Storico,43.76636,11.2484,Private room,1,0,1,1,33,2,16,46,76,351,227,2012.8,4.62,4.75,4.81,4.69,4.77,4.79,4.69,f,2.11,31.3335
within an hour,0.9,0.63,f,5,Centro Storico,43.77426,11.25699,Entire home/apt,4,1,1,2,86,2,0,10,40,315,10,2016.2,4.9,4.9,4.9,4.8,4.9,4.9,4.8,t,0.15,5.805
within an hour,1,1,t,3,Centro Storico,43.78005,11.23944,Entire home/apt,3,1,1,2,40,2,5,34,64,339,265,2012.5,4.6,4.75,4.67,4.78,4.84,4.58,4.66,t,2.4,43.2
within a few hours,1,0,f,3,Centro Storico,43.76591,11.24656,Entire home/apt,4,1,1,2,65,3,0,0,0,161,168,2013.4,4.93,4.95,4.95,4.93,4.96,4.94,4.86,f,1.68,49.14
